title,author,nationality,rating,genres,language,gender,description
Nemesis,Agatha Christie,United States,3.86,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook', 'Murder Mystery', 'Novels']",English,w,"In utter disbelief, Jane Marple read the letter addressed to her from the recently deceased Mr Rafiel - an acquaintance she had met briefly on her travels. He had left instructions for her to investigate a crime after his death. The only problem was, he had failed to tell her who was involved or where and when the crime had been committed. It was most intruguing. Soon she is faced with a new crime - the ultimate crime - murder. It seems someone is adamant that past evils remain buried..."
Shattered,Nicole Banks,United States; United States,4.13,"['Romance', 'New Adult', 'Abuse', 'Military Fiction', 'Amazon']",English,m; m,"JasmineI’m broken.Damaged goods, if you will.I’ve tried to escape my past, but it leaves me exhausted—wanting to end it all, because there’s nothing left for me.Until him.Until he comes home and sparks something inside of me I thought had been ripped away from me.He’s my best friend’s brother, and there’s a line we shouldn’t cross, no matter how much his touch heals my broken parts.AngelI was finally home, hoping to escape the guilt and nightmares that clung to my skin—but one look in her sad brown eyes tells me the ghosts of my failures aren’t as far away as I hoped.She’s the one thing my messed-up mind clings to, and I know I shouldn’t cross that line with her, but the solace I find in her arms is too tempting to resist."
Capital in the Twenty-First Century,Thomas Piketty,France,4.05,"['Economics', 'Nonfiction', 'Politics', 'History', 'Business', 'Finance', 'Philosophy', 'Sociology', 'Science', 'Unfinished']",English,m,"What are the grand dynamics that drive the accumulation and distribution of capital? Questions about the long-term evolution of inequality, the concentration of wealth, and the prospects for economic growth lie at the heart of political economy. But satisfactory answers have been hard to find for lack of adequate data and clear guiding theories. In Capital in the Twenty-First Century, Thomas Piketty analyzes a unique collection of data from twenty countries, ranging as far back as the eighteenth century, to uncover key economic and social patterns. His findings will transform debate and set the agenda for the next generation of thought about wealth and inequality.Piketty shows that modern economic growth and the diffusion of knowledge have allowed us to avoid inequalities on the apocalyptic scale predicted by Karl Marx. But we have not modified the deep structures of capital and inequality as much as we thought in the optimistic decades following World War II. The main driver of inequality—the tendency of returns on capital to exceed the rate of economic growth—today threatens to generate extreme inequalities that stir discontent and undermine democratic values. But economic trends are not acts of God. Political action has curbed dangerous inequalities in the past, Piketty says, and may do so again.A work of extraordinary ambition, originality, and rigor, Capital in the Twenty-First Century reorients our understanding of economic history and confronts us with sobering lessons for today."
What If It's Us,"Becky Albertalli , Adam Silvera",United States,3.91,"['Young Adult', 'Romance', 'LGBT', 'Contemporary', 'Fiction', 'Queer', 'Audiobook', 'Realistic Fiction', 'Young Adult Contemporary', 'M M Romance']",English,w; m,"Arthur is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it.Ben thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things.But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them?Maybe nothing. After all, they get separated.Maybe everything. After all, they get reunited.But what if they can’t quite nail a first date . . . or a second first date . . . or a third?What if Arthur tries too hard to make it work . . . and Ben doesn’t try hard enough?What if life really isn’t like a Broadway play?But what if it is?"
Colombiano,Rusty Young,Australia,4.33,"['Fiction', 'Crime', 'Historical Fiction', 'War', 'Thriller', 'Mystery', 'Coming Of Age', 'Contemporary', 'Politics', 'Action']",English,m,"In Colombia you have to pick a side. Or one will be picked for you . . .All Pedro Gutiérrez cares about is fishing, playing pool and his girlfriend Camila’s promise to sleep with him on his sixteenth birthday. But his life is ripped apart when Guerrilla soldiers callously execute his father in front of him, and he and his mother are banished from their farm.Swearing vengeance against the five men responsible, Pedro, with his best friend Palillo, joins an illegal Paramilitary group, where he is trained to fight, kill and crush any sign of weakness.But as he descends into a world of unspeakable violence, Pedro must decide how far he is willing to go. Can he stop himself before he becomes just as ruthless as those he is hunting? Or will his dark obsession cost him all he loves?Colombiano is an epic tale of rural villages held to ransom, of jungle drug labs, cocaine supermarkets, witch doctors and buried millions, of innocent teenage love, barbaric torture and meticulously planned revenge.Superbly told and by turns gripping, poignant and darkly comic, Colombiano is the remarkable story of a boy whose moral descent becomes a metaphor for the corruption of an entire nation. Both blockbuster thriller and electrifying coming-of-age story, Rusty Young’s powerful novel is also a meditation on the redeeming power of love."
Still Me,Jojo Moyes,United Kingdom,4.13,"['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Novels', 'New York', 'Realistic Fiction']",English,w,"From the #1 New York Times bestselling author Jojo Moyes, a new book featuring her iconic heroine of Me Before You and After You, Louisa Clark.Louisa Clark arrives in New York ready to start a new life, confident that she can embrace this new adventure and keep her relationship with Ambulance Sam alive across several thousand miles. She steps into the world of the superrich, working for Leonard Gopnik and his much younger second wife, Agnes. Lou is determined to get the most out of the experience and throws herself into her new job and New York life. As she begins to mix in New York high society, Lou meets Joshua Ryan, a man who brings with him a whisper of her past. Before long, Lou finds herself torn between Fifth Avenue where she works and the treasure-filled vintage clothing store where she actually feels at home. And when matters come to a head, she has to ask herself: Who is Louisa Clark? And how do you find the courage to follow your heart—wherever that may lead?Funny, romantic, and poignant, Still Me follows Lou as she navigates how to stay true to herself, while pushing to live boldly in her brave new world."
The Famished Road,Ben Okri,Nigeria,3.73,"['Fiction', 'Africa', 'Magical Realism', 'Fantasy', 'Nigeria', 'African Literature', 'Literature', 'Literary Fiction', 'Novels', 'Contemporary']",English,m,"In the decade since it won the Booker Prize, Ben Okri's Famished Road has become a classic. Like Salman Rushdie's Midnight's Children or Gabriel Garcia Marquez's One Hundred Years of Solitude, it combines brilliant narrative technique with a fresh vision to create an essential work of world literature.The narrator, Azaro, is an abiku, a spirit child, who in the Yoruba tradition of Nigeria exists between life and death. The life he foresees for himself and the tale he tells is full of sadness and tragedy, but inexplicably he is born with a smile on his face. Nearly called back to the land of the dead, he is resurrected. But in their efforts to save their child, Azaro's loving parents are made destitute. The tension between the land of the living, with its violence and political struggles, and the temptations of the carefree kingdom of the spirits propels this latter-day Lazarus's story."
The Son,Philipp Meyer,Norway,4.0,"['Fiction', 'Historical Fiction', 'Westerns', 'Historical', 'Audiobook', 'Literary Fiction', 'Novels', 'Adult', 'Family', 'Adult Fiction']",English,m,"The acclaimed author of American Rust, returns with The Son: an epic, multigenerational saga of power, blood, and land that follows the rise of one unforgettable Texas family from the Comanche raids of the 1800s to the border raids of the early 1900s to the oil booms of the 20th century.Part epic of Texas, part classic coming-of-age story, part unflinching portrait of the bloody price of power, The Son is an utterly transporting novel that maps the legacy of violence in the American West through the lives of the McCulloughs, an ambitious family as resilient and dangerous as the land they claim.Spring, 1849. The first male child born in the newly established Republic of Texas, Eli McCullough is thirteen years old when a marauding band of Comanche storm his homestead and brutally murder his mother and sister, taking him captive. Brave and clever, Eli quickly adapts to Comanche life, learning their ways and language, answering to a new name, carving a place as the chief's adopted son, and waging war against their enemies, including white men-complicating his sense of loyalty and understanding of who he is. But when disease, starvation, and overwhelming numbers of armed Americans decimate the tribe, Eli finds himself alone. Neither white nor Indian, civilized or fully wild, he must carve a place for himself in a world in which he does not fully belong-a journey of adventure, tragedy, hardship, grit, and luck that reverberates in the lives of his progeny. Intertwined with Eli's story are those of his son, Peter, a man who bears the emotional cost of his father's drive for power, and JA, Eli's great-granddaughter, a woman who must fight hardened rivals to succeed in a man's world.Phillipp Meyer deftly explores how Eli's ruthlessness and steely pragmatism transform subsequent generations of McCulloughs. Love, honor, children are sacrificed in the name of ambition, as the family becomes one of the richest powers in Texas, a ranching-and-oil dynasty of unsurpassed wealth and privilege. Yet, like all empires, the McCoulloughs must eventually face the consequences of their choices.Harrowing, panoramic, and vividly drawn, The Son is a masterful achievement from a sublime young talent."
The It Girl,Cecily von Ziegesar (creator),United Kingdom,3.66,"['Young Adult', 'Chick Lit', 'Contemporary', 'Romance', 'Fiction', 'High School', 'Teen', 'Boarding School', 'Young Adult Contemporary', 'Realistic Fiction']",English,w,"Popular Gossip Girl character Jenny Humphrey is leaving Constance Billard to attend Waverly Academy, an elite boarding school in New York horse country where glamorous rich kids don't let the rules get in the way of an excellent time. Jenny's determined to leave her crazy Manhattan past behind and become a sophisticated goddess on campus. But first she'll have to contend with her self-absorbed roommates, Callie Vernon and Brett Messerschmidt. Hot guys, new intrigue, and more delicious gossip all add up to more trouble than ever for Jenny. But if getting caught with boys and going up against the Disciplinary Committee is what it takes, Jenny is ready. She'll do all that and more to be The It Girl."
Exit West,Mohsin Hamid,Pakistan,3.79,"['Fiction', 'Magical Realism', 'Fantasy', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Romance', 'Adult', 'War', 'Novels']",English,m,"In a country teetering on the brink of civil war, two young people meet—sensual, fiercely independent Nadia and gentle, restrained Saeed. They embark on a furtive love affair and are soon cloistered in a premature intimacy by the unrest roiling their city. When it explodes, turning familiar streets into a patchwork of checkpoints and bomb blasts, they begin to hear whispers about doors—doors that can whisk people far away, if perilously and for a price. As the violence escalates, Nadia and Saeed decide that they no longer have a choice. Leaving their homeland and their old lives behind, they find a door and step through. Exit West follows these characters as they emerge into an alien and uncertain future, struggling to hold on to each other, to their past, to the very sense of who they are. Profoundly intimate and powerfully inventive, it tells an unforgettable story of love, loyalty, and courage that is both completely of our time and for all time."
The Cartel,Don Winslow,United States,4.31,"['Fiction', 'Crime', 'Thriller', 'Mystery', 'Historical Fiction', 'Audiobook', 'Mystery Thriller', 'War', 'Novels', 'Noir']",English,m,"From the internationally best-selling author of the acclaimed novel The Power of the Dog comes The Cartel, a gripping, true-to-life, ripped-from-the-headlines epic story of power, corruption, revenge, and justice spanning the past decade of the Mexican-American drug wars.It’s 2004. DEA agent Art Keller has been fighting the war on drugs for thirty years in a blood feud against Adán Barrera, the head of El Federación, the world’s most powerful cartel, and the man who brutally murdered Keller’s partner. Finally putting Barrera away cost Keller dearly—the woman he loves, the beliefs he cherishes, the life he wants to lead.Then Barrera gets out, determined to rebuild the empire that Keller shattered. Unwilling to live in a world with Barrera in it, Keller goes on a ten-year odyssey to take him down. His obsession with justice—or is it revenge?—becomes a ruthless struggle that stretches from the cities, mountains, and deserts of Mexico to Washington’s corridors of power to the streets of Berlin and Barcelona.Keller fights his personal battle against the devastated backdrop of Mexico’s drug war, a conflict of unprecedented scale and viciousness, as cartels vie for power and he comes to the final reckoning with Barrera—and himself—that he always knew must happen.The Cartel is a story of revenge, honor, and sacrifice, as one man tries to face down the devil without losing his soul. It is the story of the war on drugs and the men—and women—who wage it."
The Nix,Nathan Hill,United States,4.06,"['Fiction', 'Historical Fiction', 'Audiobook', 'Literary Fiction', 'Contemporary', 'Novels', 'Historical', 'Adult Fiction', 'Literature', 'Adult']",English,m,"A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.Meet Samuel Andresen-Anderson: stalled writer, bored teacher at a local college, obsessive player of an online video game. He hasn't seen his mother, Faye, since she walked out when he was a child. But then one day there she is, all over the news, throwing rocks at a presidential candidate. The media paints Faye as a militant radical with a sordid past, but as far as Samuel knows, his mother never left her small Iowa town. Which version of his mother is the true one? Determined to solve the puzzle--and finally have something to deliver to his publisher--Samuel decides to capitalize on his mother's new fame by writing a tell-all biography, a book that will savage her intimately, publicly. But first, he has to locate her; and second, to talk to her without bursting into tears. As Samuel begins to excavate her history, the story moves from the rural Midwest of the 1960s to New York City during the Great Recession and Occupy Wall Street to the infamous riots at the 1968 Chicago Democratic National Convention, and finally to Norway, home of the mysterious Nix that his mother told him about as a child. And in these places, Samuel will unexpectedly find that he has to rethink everything he ever knew about his mother--a woman with an epic story of her own, a story she kept hidden from the world."
Career of Evil,Robert Galbraith,United Kingdom,4.2,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Audiobook', 'Mystery Thriller', 'Detective', 'Adult', 'Contemporary', 'Suspense']",English,w,"Cormoran Strike is back, with his assistant Robin Ellacott, in a mystery based around soldiers returning from war.When a mysterious package is delivered to Robin Ellacott, she is horrified to discover that it contains a woman’s severed leg.Her boss, private detective Cormoran Strike, is less surprised but no less alarmed. There are four people from his past who he thinks could be responsible – and Strike knows that any one of them is capable of sustained and unspeakable brutality.With the police focusing on the one suspect Strike is increasingly sure is not the perpetrator, he and Robin take matters into their own hands, and delve into the dark and twisted worlds of the other three men. But as more horrendous acts occur, time is running out for the two of them…Career of Evil is the third in the series featuring private detective Cormoran Strike and his assistant Robin Ellacott. A mystery and also a story of a man and a woman at a crossroads in their personal and professional lives."
Behind Her Eyes,Sarah Pinborough,United Kingdom,3.76,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Psychological Thriller', 'Adult', 'Contemporary', 'Crime']",English,w,"Why is everyone talking about the ending of Sarah Pinborough's Behind Her Eyes?Louise is a single mom, a secretary, stuck in a modern-day rut. On a rare night out, she meets a man in a bar and sparks fly. Though he leaves after they kiss, she’s thrilled she finally connected with someone.When Louise arrives at work on Monday, she meets her new boss, David. The man from the bar. The very married man from the bar…who says the kiss was a terrible mistake but who still can’t keep his eyes off Louise.And then Louise bumps into Adele, who’s new to town and in need of a friend, but she also just happens to be married to David. David and Adele look like the picture-perfect husband and wife, but then why is David so controlling, and why is Adele so scared of him?As Louise is drawn into David and Adele’s orbit, she uncovers more puzzling questions than answers. The only thing that is crystal clear is that something in this marriage is very, very wrong, but Louise can’t guess how wrong―and how far a person might go to protect their marriage’s secrets."
The Little Paris Bookshop,Nina George,Germany,3.51,"['Fiction', 'Romance', 'Books About Books', 'France', 'Contemporary', 'Adult Fiction', 'Adult', 'Audiobook', 'Book Club', 'Travel']",English,w,"“There are books that are suitable for a million people, others for only a hundred. There are even remedies—I mean books—that were written for one person only…A book is both medic and medicine at once. It makes a diagnosis as well as offering therapy. Putting the right novels to the appropriate ailments: that’s how I sell books.” Monsieur Perdu calls himself a literary apothecary. From his floating bookstore in a barge on the Seine, he prescribes novels for the hardships of life. Using his intuitive feel for the exact book a reader needs, Perdu mends broken hearts and souls. The only person he can't seem to heal through literature is himself; he's still haunted by heartbreak after his great love disappeared. She left him with only a letter, which he has never opened.After Perdu is finally tempted to read the letter, he hauls anchor and departs on a mission to the south of France, hoping to make peace with his loss and discover the end of the story. Joined by a bestselling but blocked author and a lovelorn Italian chef, Perdu travels along the country’s rivers, dispensing his wisdom and his books, showing that the literary world can take the human soul on a journey to heal itself.Internationally bestselling and filled with warmth and adventure, The Little Paris Bookshop is a love letter to books, meant for anyone who believes in the power of stories to shape people's lives."
First Love,"James Patterson , Emily Raymond",United States; United States,3.78,"['Romance', 'Young Adult', 'Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Realistic Fiction', 'Contemporary Romance', 'Young Adult Romance', 'Road Trip']",,m; w,"An extraordinary portrait of true love that will move anyone who has a first love story of their own. Axi Moore is a ""good girl"": She studies hard, stays out of the spotlight, and doesn't tell anyone how all she really wants is to run away from it all. The only person she can tell is her best friend, Robinson--who she also happens to be madly in love with. When Axi spontaneously invites Robinson to come with her on an impulsive cross-country road trip, she breaks the rules for the first time in her life. But the adventure quickly turns from carefree to out of control after the teens find themselves on the run from the police. And when Robinson suddenly collapses, Axi has to face the truth that this trip might be his last.A remarkably moving tale very personal to James Patterson's own past, FIRST LOVE is testament to the power of first love--and how it can change the rest of your life."
Life,"Keith Richards, James Fox",Norway,3.87,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook', 'History', 'Rock N Roll', 'Pop Culture']",English,w,"With the Rolling Stones, Keith Richards created the riffs, the lyrics and the songs that roused the world, and over four decades he lived the original rock and roll life. Now, at last, the man himself tells us the story of life in the crossfire hurricane."
"Listen, Little Man!",Wilhelm Reich,Austria,4.02,"['Philosophy', 'Psychology', 'Nonfiction', 'Politics', 'Classics', 'Essays', 'Sociology', 'German Literature', 'Psychoanalysis', 'Literature']",English,m,"Listen, Little Man! is a great physician's quiet talk to each one of us, the average human being, the Little Man. Written in 1946 in answer to the gossip and defamation that plagued his remarkable career, it tells how Reich watched, at first naively, then with amazement, and finally with horror, at what the Little Man does to himself; how he suffers and rebels; how he esteems his enemies and murders his friends; how, wherever he gains power as a ""representative of the people,"" he misuses this power and makes it crueler than the power it has supplanted.Reich has us to look honestly at ourselves and to assume responsibility for our lives and for the great untapped potential that lies in the depth of human nature."
Lullabies,Lang Leav,Australia,4.01,"['Poetry', 'Romance', 'Fiction', 'Contemporary', 'Young Adult', 'Adult', 'Love']",English,w,"A sequel to the hugely popular, best-selling Love & Misadventure, Lullabies continues to explore the intricacies of love and loss.Set to a musical theme, love's poetic journey in this new, original collection begins with a Duet and travels through Interlude and Finale with an Encore popular piece from the best-selling Love & Misadventure. Lang Leav's evocative poetry speaks to the soul of anyone who is on this journey. Leav has an unnerving ability to see inside the hearts and minds of her readers. Her talent for translating complex emotions with astonishing simplicity has won her a cult following of devoted fans from all over the world. Lang Leav is a poet and internationally exhibiting artist."
Malice,Chris Wooding,Norway,4.12,"['Fantasy', 'Horror', 'Young Adult', 'Graphic Novels', 'Adventure', 'Fiction', 'Teen', 'Mystery', 'Paranormal', 'Middle Grade']",,m,"Everyone's heard the rumours. Call Tall Jake and he'll take you to Malice, a world that exists inside a horrifying comic book. A place most kids never leave. Seth and Kady think it's all a silly myth. But then their friend disappears, and suddenly the rumours don't seem so silly."
Dust,Hugh Howey,United States,4.26,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Science Fiction Fantasy', 'Apocalyptic', 'Audiobook', 'Speculative Fiction', 'Novels']",English,w,"In a time when secrets and lies were the foundations of life, someone has discovered the truth. And they are going to tell.Jules knows what her predecessors created. She knows they are the reason life has to be lived in this way.And she won't stand for it.But Jules no longer has supporters. And there is far more to fear than the toxic world beyond her walls.A poison is growing from within Silo 18.One that cannot be stopped.Unless Silo 1 step in."
Before Jamaica Lane,Samantha Young,United Kingdom,4.33,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Adult', 'Erotica', 'Chick Lit', 'Humor', 'Audiobook', 'Fiction']",English,w,"Despite her outgoing demeanor, Olivia is painfully insecure around the opposite sex—usually, she can’t get up the nerve to approach guys she’s interested in. But moving to Edinburgh has given her a new start, and, after she develops a crush on a sexy postgrad, she decides it’s time to push past her fears and go after what she wants.Nate Sawyer is a gorgeous player who never commits, but to his close friends, he’s as loyal as they come. So when Olivia turns to him with her relationship woes, he offers to instruct her in the art of flirting and to help her become more sexually confident.The friendly education in seduction soon grows into an intense and hot romance. But then Nate’s past and commitment issues rear their ugly heads, and Olivia is left brokenhearted. When Nate realizes he’s made the biggest mistake of his life, he will have to work harder than he ever has before to entice his best friend into falling back in love with him—or he may lose her forever…."
Luna,Julie Anne Peters,United Kingdom,3.84,"['Young Adult', 'LGBT', 'Fiction', 'Queer', 'Contemporary', 'Realistic Fiction', 'Teen', 'Transgender', 'Gender', 'Coming Of Age']",English,m,"A groundbreaking novel about a transgender teen, selected as a National Book Award Finalist! Regan's brother Liam can't stand the person he is during the day. Like the moon from whom Liam has chosen his female name, his true self, Luna, only reveals herself at night. In the secrecy of his basement bedroom Liam transforms himself into the beautiful girl he longs to be, with help from his sister's clothes and makeup. Now, everything is about to change: Luna is preparing to emerge from her cocoon. But are Liam's family and friends ready to elcome Luna into their lives? Compelling and provocative, this is an unforgettable novel about a transgender teen's struggle for self-identity and acceptance."
Power Play,Ridley Pearson,United States,4.21,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Science Fiction', 'Mystery', 'Childrens', 'Magic', 'Action']",,w,"For the five teens who modeled as Disney Hologram Imaging hosts, life is beginning to settle down when an intriguing video arrives to Philby's computer at school. It's a call for action: the Overtakers, a group of Disney villains, seem to be plotting to attempt a rescue of two of their leaders, both of whom the Disney Imagineers have hidden away somewhere following a violent encounter in Epcot. A staged attack by new Overtakers at Downtown Disney, startles the group.One of their own, Charlene, is acting strange of late. Has she tired of her role as a Kingdom Keeper or is there something more sinister at play? When caught sneaking into Epcot as her DHI, acting strictly against the group's rules, Finn and Philby take action.Has the ""impossible"" occurred? Have the Overtakers created their own holograms? Have they found a way to ""jump"" from the Virtual Maintenance Network onto the Internet, and if so, what does that mean for the safety of the parks, and the spread and reach of the Overtakers? Are they recruiting an army from outside the parks?A dark cloud in the Kingdom Keeper era is unfolding, and with dissention in their own ranks, it's unclear if there's any chance of escape."
Killer Instinct,Jennifer Lynn Barnes,United States; United States,4.37,"['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Romance', 'Crime', 'Mystery Thriller', 'Suspense', 'Fiction', 'Teen']",English,m; m,"Seventeen-year-old Cassie Hobbes has a gift for profiling people. Her talent has landed her a spot in an elite FBI program for teens with innate crime-solving abilities, and into some harrowing situations. After barely escaping a confrontation with an unbalanced killer obsessed with her mother’s murder, Cassie hopes she and the rest of the team can stick to solving cold cases from a distance.But when victims of a brutal new serial killer start turning up, the Naturals are pulled into an active case that strikes too close to home: the killer is a perfect copycat of Dean’s incarcerated father—a man he’d do anything to forget. Forced deeper into a murderer’s psyche than ever before, will the Naturals be able to outsmart the enigmatic killer’s brutal mind games before this copycat twists them into his web for good?With her trademark wit, brilliant plotting, and twists that no one will see coming, Jennifer Lynn Barnes will keep readers on the edge of their seats (and looking over their shoulders) as they race through the pages of this thrilling novel."
Missing You,Meg Cabot,United States,4.17,"['Young Adult', 'Paranormal', 'Romance', 'Fantasy', 'Mystery', 'Chick Lit', 'Teen', 'Supernatural', 'Fiction', 'Contemporary']",English,m,"Good-bye, Lightning GirlEver since a walk home on a particularly stormy day, Jessica Mastriani has had an ability like no other. She became known worldwide as Lightning Girl--a psychic who could find the location of anyone, dead or alive. Jess finally had no choice but to embrace her newfound talent, and ended up lending her skills to the U.S. government. But her work for them has taken a terrible toll, and Jess resurfaces months later a shadow of her former self, her powers gone, Lightning Girl no more. Her only hope is starting over in a new place, a big city where nobody knows her.It's only when Rob Wilkins unexpectedly shows up on her doorstep that she's forced to face her past. Rob, all the way from back home, needs her help. But how can Jess, her powers gone, find anyone, let alone the sister of a man she once loved . . . when she can't even find herself? Missing You, the fifth and final book in the 1-800-Where-R-You series"
Worlds Collide,Chris Colfer,United States,4.56,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Fairy Tales', 'Audiobook', 'Magic', 'Retellings']",English,m,"The epic conclusion to Chris Colfer's #1 New York Times bestselling series The Land of Stories!In the highly anticipated conclusion to the Land of Stories series, Conner and Alex must brave the impossible. All of the Land of Stories fairy tale characters--heroes and villains--are no longer confined within their world!With mayhem brewing in the Big Apple, Conner and Alex will have to win their biggest battle yet. Can the twins restore order between the human and fairy tale world?Breathtaking action mixed with laugh out loud moments and lots of heart will make this a gripping conclusion for many fans!"
S.,"J.J. Abrams, Doug Dorst",United States; United States,3.85,"['Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Thriller', 'Contemporary', 'Adult', 'Romance', 'Mystery Thriller', 'Novels']",English,m; m,"One book. Two readers. A world of mystery, menace, and desire.A young woman picks up a book left behind by a stranger. Inside it are his margin notes, which reveal a reader entranced by the story and by its mysterious author. She responds with notes of her own, leaving the book for the stranger, and so begins an unlikely conversation that plunges them both into the unknown.THE BOOK: Ship of Theseus, the final novel by a prolific but enigmatic writer named V. M. Straka, in which a man with no past is shanghaied onto a strange ship with a monstrous crew and launched onto a disorienting and perilous journey.THE WRITER: Straka, the incendiary and secretive subject of one of the world’s greatest mysteries, a revolutionary about whom the world knows nothing apart from the words he wrote and the rumours that swirl around him.THE READERS: Jennifer and Eric, a college senior and a disgraced grad student, both facing crucial decisions about who they are, who they might become, and how much they’re willing to trust another person with their passions, hurts, and fears.
  S.
, conceived by filmmaker J. J. Abrams and written by award-winning novelist Doug Dorst, is the chronicle of two readers finding each other in the margins of a book and enmeshing themselves in a deadly struggle between forces they don’t understand. It is also Abrams and Dorst’s love letter to the written word."
The Perfect Couple,Elin Hilderbrand,United States,3.95,"['Fiction', 'Mystery', 'Chick Lit', 'Audiobook', 'Romance', 'Contemporary', 'Mystery Thriller', 'Adult Fiction', 'Adult', 'Thriller']",English,w,"It's Nantucket wedding season, also known as summer-the sight of a bride racing down Main Street is as common as the sun setting at Madaket Beach. The Otis-Winbury wedding promises to be an event to remember: the groom's wealthy parents have spared no expense to host a lavish ceremony at their oceanfront estate.But it's going to be memorable for all the wrong reasons after tragedy strikes: a body is discovered in Nantucket Harbor just hours before the ceremony-and everyone in the wedding party is suddenly a suspect. As Chief of Police Ed Kapenash interviews the bride, the groom, the groom's famous mystery-novelist mother, and even a member of his own family, he discovers that every wedding is a minefield-and no couple is perfect. Featuring beloved characters from The Castaways, Beautiful Day, and A Summer Affair, The Perfect Couple proves once again that Elin Hilderbrand is the queen of the summer beach read."
The Widow,Fiona Barton,United Kingdom,3.5,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Psychological Thriller', 'Adult', 'Contemporary']",English,w,"When the police started asking questions, Jean Taylor turned into a different woman. One who enabled her and her husband to carry on, when more bad things began to happen...But that woman’s husband died last week. And Jean doesn’t have to be her anymore.There’s a lot Jean hasn’t said over the years about the crime her husband was suspected of committing. She was too busy being the perfect wife, standing by her man while living with the accusing glares and the anonymous harassment. Now there’s no reason to stay quiet. There are people who want to hear her story. They want to know what it was like living with that man. She can tell them that there were secrets. There always are in a marriage. The truth—that’s all anyone wants. But the one lesson Jean has learned in the last few years is that she can make people believe anything…"
The Door,Magda Szabó,Spain,4.07,"['Fiction', 'Hungary', 'Historical Fiction', 'Hungarian Literature', 'Novels', 'Literary Fiction', 'Literature', 'Classics', 'Womens', 'Contemporary']",English,m,"A busy young writer struggling to cope with domestic chores, hires a housekeeper recommended by a friend. The housekeeper's reputation is one built on dependable efficiency, though she is something of an oddity. Stubborn, foul-mouthed and with a flagrant disregard for her employer's opinions she may even be crazy. She allows no-one to set foot inside her house; she masks herself with a veil and is equally guarded about her personal life. And yet Emerence is revered as much as she is feared. As the story progresses her energy and passion to help becomes clear, extinguishing any doubts arising out of her bizarre behaviour. A stylishly told tale which recounts a strange relationship built up over 20 years between a writer and her housekeeper. After an unpromising and caustic start benign feelings develop and ultimately the writer benefits from what becomes an inseparable relationship. Simultaneously we learn Emerence's tragic past which is revealed in snapshots throughout the book."
Next,Michael Crichton,France,3.52,"['Fiction', 'Science Fiction', 'Thriller', 'Mystery', 'Suspense', 'Novels', 'Science Fiction Fantasy', 'Genetics', 'Mystery Thriller', 'Adventure']",English,m,"Welcome to our genetic world.Fast, furious, and out of control.This is not the world of the future --- it's the world right now.Is a loved one missing some body parts? Are blondes becoming extinct? Is everyone at your dinner table of the same species? Humans and chimpanzees differ in only 400 genes; is that why an adult human being resembles a chimp fetus? And should that worry us? There's a new genetic cure for drug addiction --- is it worse than the disease?We live in a time of momentous scientific leaps; a time when it's possible to sell our eggs and sperm online for thousands of dollars; test our spouses for genetic maladies and even frame someone for a genetic crime.We live in a time when one fifth of all our genes are owned by someone else, and an unsuspecting person and his family can be pursued cross-country because they happen to have certain valuable genes within their chromosomes ...Devilishly clever, Next blends fact and fiction into a breathless tale of a new world where nothing is what it seems, and a set of new possibilities can open at every turn. Next challenges our sense of reality and notions of morality. Balancing the comic and bizarre with the genuinely frightening and disturbing, Next shatters our assumptions, and reveals shocking new choices where we least expect.The future is closer than you think. Get used to it."
